UTC,Open,High,Low,Close,Volume
07.08.2025 07:50:00.000 UTC,1.16874,1.16892,1.16869,1.16881,61.77
07.08.2025 07:51:00.000 UTC,1.16879,1.16899,1.16878,1.16895,70.35
07.08.2025 07:52:00.000 UTC,1.16894,1.16911,1.16883,1.16883,127.02
07.08.2025 07:53:00.000 UTC,1.16887,1.16897,1.1688,1.16893,87.38
07.08.2025 07:54:00.000 UTC,1.16891,1.16899,1.16884,1.16898,66.87
07.08.2025 07:55:00.000 UTC,1.16896,1.1691,1.16895,1.16908,49.92
07.08.2025 07:56:00.000 UTC,1.16907,1.1691,1.16901,1.1691,50.4
07.08.2025 07:57:00.000 UTC,1.16906,1.1691,1.16895,1.16907,51.24
07.08.2025 07:58:00.000 UTC,1.16906,1.16906,1.16886,1.16892,83.88
07.08.2025 07:59:00.000 UTC,1.16891,1.16897,1.16875,1.16897,105.75
07.08.2025 08:00:00.000 UTC,1.16893,1.16911,1.1688,1.169,93.82
07.08.2025 08:01:00.000 UTC,1.16903,1.16922,1.16903,1.16915,109.68
07.08.2025 08:02:00.000 UTC,1.16913,1.16922,1.16899,1.16901,147.82
07.08.2025 08:03:00.000 UTC,1.16902,1.16921,1.16901,1.16913,97.38
07.08.2025 08:04:00.000 UTC,1.16915,1.16986,1.16915,1.16975,358.71
07.08.2025 08:05:00.000 UTC,1.16974,1.16974,1.16908,1.16909,186.4
07.08.2025 08:06:00.000 UTC,1.16909,1.16909,1.16856,1.16867,396.73
07.08.2025 08:07:00.000 UTC,1.16864,1.16864,1.16814,1.16818,259.83
07.08.2025 08:08:00.000 UTC,1.16817,1.16849,1.16807,1.16849,127.77
07.08.2025 08:09:00.000 UTC,1.16849,1.16886,1.16849,1.16879,68.58
07.08.2025 08:10:00.000 UTC,1.16879,1.16897,1.16866,1.16895,100.44
07.08.2025 08:11:00.000 UTC,1.16893,1.16916,1.16888,1.16888,118.89
07.08.2025 08:12:00.000 UTC,1.16887,1.16887,1.16829,1.16829,130.38
07.08.2025 08:13:00.000 UTC,1.16828,1.16842,1.16812,1.16823,109.21
07.08.2025 08:14:00.000 UTC,1.16821,1.16839,1.1682,1.16837,110.7
07.08.2025 08:15:00.000 UTC,1.16838,1.16841,1.16798,1.16798,95.61
07.08.2025 08:16:00.000 UTC,1.16798,1.16806,1.16788,1.16789,136.72
07.08.2025 08:17:00.000 UTC,1.16791,1.16795,1.16775,1.16791,91.35
07.08.2025 08:18:00.000 UTC,1.1679,1.16793,1.16771,1.16785,95.25
07.08.2025 08:19:00.000 UTC,1.16786,1.1679,1.1678,1.16785,80.64
07.08.2025 08:20:00.000 UTC,1.16784,1.16784,1.16755,1.1676,135.9
07.08.2025 08:21:00.000 UTC,1.16761,1.16775,1.16758,1.16771,81.45
07.08.2025 08:22:00.000 UTC,1.16773,1.16789,1.16769,1.16788,63.09
07.08.2025 08:23:00.000 UTC,1.16786,1.16792,1.16778,1.16779,61.77
07.08.2025 08:24:00.000 UTC,1.16777,1.16784,1.16769,1.16784,103.5
07.08.2025 08:25:00.000 UTC,1.16779,1.1678,1.16762,1.16778,94.43
07.08.2025 08:26:00.000 UTC,1.16776,1.16781,1.16766,1.16781,46.8
07.08.2025 08:27:00.000 UTC,1.1678,1.16784,1.16778,1.16783,56.7
07.08.2025 08:28:00.000 UTC,1.16784,1.16786,1.16769,1.16784,109.14
07.08.2025 08:29:00.000 UTC,1.16782,1.16784,1.16774,1.16775,73.34
07.08.2025 08:30:00.000 UTC,1.16777,1.1678,1.16764,1.1677,156.91
07.08.2025 08:31:00.000 UTC,1.16773,1.16787,1.16756,1.16763,76.26
07.08.2025 08:32:00.000 UTC,1.1676,1.16776,1.16759,1.16775,62.04
